ts,condition,arm,model,qid,grade,cost_usd,latency_s,running_total_usd
2026-04-24T02:36:59.462829+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-02,HIT,0.005906,2.677,0.283496
2026-04-24T02:37:03.086978+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-03,HIT,0.006448,3.175,0.283496
2026-04-24T02:37:07.160616+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-04,HIT,0.005497,3.634,0.283496
2026-04-24T02:37:09.462651+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-05,HIT,0.005070,1.860,0.283496
2026-04-24T02:37:14.653104+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-06,HIT,0.006275,4.739,0.283496
2026-04-24T02:37:17.717636+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-07,HIT,0.005343,2.637,0.283496
2026-04-24T02:37:22.003482+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-RC-08,HIT,0.005701,3.838,0.283496
2026-04-24T02:37:25.351514+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-01,HIT,0.005100,2.902,0.283496
2026-04-24T02:37:28.313036+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-02,MISS,0.005149,2.506,0.283496
2026-04-24T02:37:31.871502+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-03,MISS,0.005506,3.102,0.283496
2026-04-24T02:37:37.267645+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-04,MISS,0.005467,4.945,0.283496
2026-04-24T02:37:39.686711+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-05,HIT,0.006162,1.964,0.283496
2026-04-24T02:37:41.802607+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-06,HIT,0.004934,1.654,0.283496
2026-04-24T02:37:45.920284+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-07,MISS,0.006155,3.671,0.283496
2026-04-24T02:37:48.454855+00:00,lb_knight_cathedral_only_haiku,1,claude-haiku-4-5-20251001,R11-HP-08,HIT,0.005154,2.082,0.283496
2026-04-24T02:37:51.122384+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-01,HIT,0.006606,2.205,0.346526
2026-04-24T02:37:53.576744+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-02,HIT,0.006493,1.996,0.346526
2026-04-24T02:37:57.106542+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-03,MISS,0.006950,3.074,0.346526
2026-04-24T02:37:59.742102+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-04,MISS,0.006541,2.193,0.346526
2026-04-24T02:38:02.789997+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-05,HIT,0.006620,2.586,0.346526
2026-04-24T02:38:06.928938+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-06,MISS,0.005729,3.688,0.346526
2026-04-24T02:38:09.394627+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-07,HIT,0.006620,2.005,0.346526
2026-04-24T02:38:12.845795+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-08,MISS,0.006976,3.002,0.346526
2026-04-24T02:38:14.849189+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-CS-09,HIT,0.004886,1.553,0.346526
2026-04-24T02:38:18.872025+00:00,lb_knight_cross_bishop_haiku,2,claude-haiku-4-5-20251001,R11-AM-01,MISS,0.005609,3.572,0.346526
